dataset,shots,method,acc_mean,acc_std,ece_mean,nll_mean,zs_acc_mean
caltech101,0,ZS-0,84.219,0.000,,,84.220
caltech101,1,CLAP,88.627,0.133,,,84.220
caltech101,1,ZS-LP,88.438,0.093,,,84.220
caltech101,2,CLAP,90.129,0.133,,,84.220
caltech101,2,ZS-LP,89.912,0.107,,,84.220
caltech101,4,CLAP,91.062,0.234,,,84.220
caltech101,4,ZS-LP,90.980,0.229,,,84.220
caltech101,8,CLAP,91.819,0.206,,,84.220
caltech101,8,ZS-LP,92.062,0.303,,,84.220
caltech101,16,CLAP,92.292,0.211,,,84.220
caltech101,16,ZS-LP,93.117,0.180,,,84.220
dtd,0,ZS-0,42.908,0.000,,,42.910
dtd,1,CLAP,49.074,1.612,,,42.910
dtd,1,ZS-LP,49.113,1.685,,,42.910
dtd,2,CLAP,54.314,1.075,,,42.970
dtd,2,ZS-LP,53.802,1.309,,,42.970
dtd,4,CLAP,59.909,0.523,,,42.970
dtd,4,ZS-LP,59.082,0.348,,,42.970
dtd,8,CLAP,63.731,0.447,,,42.970
dtd,8,ZS-LP,63.771,0.768,,,42.970
dtd,16,CLAP,67.612,0.369,,,42.910
dtd,16,ZS-LP,67.455,0.300,,,42.910
eurosat,0,ZS-0,12.100,18.150,,,36.300
eurosat,1,CLAP,60.708,2.828,,,36.300
eurosat,1,ZS-LP,59.588,4.032,,,36.300
eurosat,2,CLAP,67.794,1.113,,,36.300
eurosat,2,ZS-LP,65.383,2.182,,,36.300
eurosat,4,CLAP,72.988,2.216,,,36.300
eurosat,4,ZS-LP,72.572,2.047,,,36.300
eurosat,8,CLAP,77.975,1.898,,,36.300
eurosat,8,ZS-LP,78.938,2.408,,,36.300
eurosat,16,CLAP,81.103,0.555,,,36.420
eurosat,16,ZS-LP,83.691,0.529,,,36.420
fgvc_aircraft,0,ZS-0,16.982,0.000,,,16.980
fgvc_aircraft,1,CLAP,20.892,0.273,,,16.980
fgvc_aircraft,1,ZS-LP,20.892,0.314,,,16.980
fgvc_aircraft,2,CLAP,23.272,0.236,,,17.070
fgvc_aircraft,2,ZS-LP,23.162,0.187,,,17.070
fgvc_aircraft,4,CLAP,25.583,0.497,,,17.070
fgvc_aircraft,4,ZS-LP,25.623,0.498,,,17.070
fgvc_aircraft,8,CLAP,29.613,0.687,,,17.070
fgvc_aircraft,8,ZS-LP,30.053,0.922,,,17.070
fgvc_aircraft,16,CLAP,34.473,0.234,,,17.070
fgvc_aircraft,16,ZS-LP,35.654,0.208,,,17.070
oxford_flowers,0,ZS-0,66.017,0.000,,,66.020
oxford_flowers,1,CLAP,80.241,0.113,,,66.020
oxford_flowers,1,ZS-LP,79.713,0.107,,,66.020
oxford_flowers,2,CLAP,84.545,0.572,,,66.020
oxford_flowers,2,ZS-LP,84.775,0.674,,,66.020
oxford_flowers,4,CLAP,87.874,0.704,,,66.140
oxford_flowers,4,ZS-LP,88.848,0.630,,,66.020
oxford_flowers,8,CLAP,92.286,0.122,,,66.140
oxford_flowers,8,ZS-LP,94.153,0.281,,,66.140
oxford_flowers,16,CLAP,94.532,0.146,,,66.020
oxford_flowers,16,ZS-LP,96.062,0.220,,,66.020
oxford_pets,0,ZS-0,82.693,0.000,,,82.690
oxford_pets,1,CLAP,84.655,0.330,,,82.690
oxford_pets,1,ZS-LP,84.592,0.236,,,82.690
oxford_pets,2,CLAP,85.318,0.754,,,82.690
oxford_pets,2,ZS-LP,84.610,0.832,,,82.690
oxford_pets,4,CLAP,86.808,0.397,,,82.690
oxford_pets,4,ZS-LP,86.154,0.328,,,82.690
oxford_pets,8,CLAP,88.126,0.239,,,82.720
oxford_pets,8,ZS-LP,87.326,0.202,,,82.720
oxford_pets,16,CLAP,88.689,0.047,,,82.690
oxford_pets,16,ZS-LP,88.026,0.014,,,82.720
sun397,0,ZS-0,57.103,0.000,,,57.100
sun397,1,CLAP,61.276,0.177,,,57.100
sun397,1,ZS-LP,61.142,0.215,,,57.100
sun397,2,CLAP,64.048,0.257,,,57.120
sun397,2,ZS-LP,64.076,0.254,,,57.120
sun397,4,CLAP,66.453,0.226,,,57.100
sun397,4,ZS-LP,66.363,0.370,,,57.120
sun397,8,CLAP,68.851,0.066,,,57.110
sun397,8,ZS-LP,68.640,0.083,,,57.110
sun397,16,CLAP,64.013,7.573,,,57.100
sun397,16,ZS-LP,70.846,0.099,,,57.100
